OppName,FPI,FPI_diff,Surface,Month,Year,Site,Type,Count,Yards,TD Gained
Clemson,13.8,4.8,Grass,9,2023,Home,Sacks,2,11,
Lafayette,,,Grass,9,2023,Home,Sacks,2,8,
Northwestern,0.8,-8.2,Grass,9,2023,Home,Sacks,2,11,
Connecticut,-15.9,-24.9,Grass,9,2023,Away,Sacks,2,16,
Notre Dame,20.7,11.7,Grass,9,2023,Home,Sacks,2,7,
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,Sacks,4,31,
Florida St.,19.8,10.8,Grass,10,2023,Away,Sacks,1,2,
Louisville,11.4,2.4,Turf,10,2023,Away,Sacks,2,13,
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,Sacks,3,9,
North Carolina,10.2,1.2,Turf,11,2023,Away,Sacks,2,5,
Virginia,-5.3,-14.3,Grass,11,2023,Away,Sacks,1,7,
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,Sacks,4,37,
Troy,5.9,-3.1,Turf,12,2023,Neutral,Sacks,2,15,
Clemson,13.8,4.8,Grass,9,2023,Home,Passes_Broken,9,,
Lafayette,,,Grass,9,2023,Home,Passes_Broken,3,,
Northwestern,0.8,-8.2,Grass,9,2023,Home,Passes_Broken,5,,
Connecticut,-15.9,-24.9,Grass,9,2023,Away,Passes_Broken,4,,
Notre Dame,20.7,11.7,Grass,9,2023,Home,Passes_Broken,5,,
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,Passes_Broken,5,,
Florida St.,19.8,10.8,Grass,10,2023,Away,Passes_Broken,2,,
Louisville,11.4,2.4,Turf,10,2023,Away,Passes_Broken,2,,
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,Passes_Broken,2,,
North Carolina,10.2,1.2,Turf,11,2023,Away,Passes_Broken,3,,
Virginia,-5.3,-14.3,Grass,11,2023,Away,Passes_Broken,3,,
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,Passes_Broken,4,,
Troy,5.9,-3.1,Turf,12,2023,Neutral,Passes_Broken,10,,
Clemson,13.8,4.8,Grass,9,2023,Home,QB_Hurries,5,,
Lafayette,,,Grass,9,2023,Home,QB_Hurries,1,,
Northwestern,0.8,-8.2,Grass,9,2023,Home,QB_Hurries,3,,
Connecticut,-15.9,-24.9,Grass,9,2023,Away,QB_Hurries,2,,
Notre Dame,20.7,11.7,Grass,9,2023,Home,QB_Hurries,8,,
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,QB_Hurries,4,,
Florida St.,19.8,10.8,Grass,10,2023,Away,QB_Hurries,2,,
Louisville,11.4,2.4,Turf,10,2023,Away,QB_Hurries,1,,
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,QB_Hurries,0,,
North Carolina,10.2,1.2,Turf,11,2023,Away,QB_Hurries,5,,
Virginia,-5.3,-14.3,Grass,11,2023,Away,QB_Hurries,1,,
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,QB_Hurries,4,,
Troy,5.9,-3.1,Turf,12,2023,Neutral,QB_Hurries,7,,
Clemson,13.8,4.8,Grass,9,2023,Home,Fumbles_Forced,2,,
Lafayette,,,Grass,9,2023,Home,Fumbles_Forced,0,,
Northwestern,0.8,-8.2,Grass,9,2023,Home,Fumbles_Forced,0,,
Connecticut,-15.9,-24.9,Grass,9,2023,Away,Fumbles_Forced,1,,
Notre Dame,20.7,11.7,Grass,9,2023,Home,Fumbles_Forced,0,,
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,Fumbles_Forced,1,,
Florida St.,19.8,10.8,Grass,10,2023,Away,Fumbles_Forced,0,,
Louisville,11.4,2.4,Turf,10,2023,Away,Fumbles_Forced,0,,
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,Fumbles_Forced,1,,
North Carolina,10.2,1.2,Turf,11,2023,Away,Fumbles_Forced,0,,
Virginia,-5.3,-14.3,Grass,11,2023,Away,Fumbles_Forced,0,,
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,Fumbles_Forced,1,,
Troy,5.9,-3.1,Turf,12,2023,Neutral,Fumbles_Forced,0,,
Clemson,13.8,4.8,Grass,9,2023,Home,Kicks_Punts_Blocked,2,,
Lafayette,,,Grass,9,2023,Home,Kicks_Punts_Blocked,0,,
Northwestern,0.8,-8.2,Grass,9,2023,Home,Kicks_Punts_Blocked,0,,
Connecticut,-15.9,-24.9,Grass,9,2023,Away,Kicks_Punts_Blocked,0,,
Notre Dame,20.7,11.7,Grass,9,2023,Home,Kicks_Punts_Blocked,0,,
North Carolina St.,6.9,-2.1,Grass,10,2023,Home,Kicks_Punts_Blocked,0,,
Florida St.,19.8,10.8,Grass,10,2023,Away,Kicks_Punts_Blocked,0,,
Louisville,11.4,2.4,Turf,10,2023,Away,Kicks_Punts_Blocked,0,,
Wake Forest,-1.7,-10.7,Grass,11,2023,Home,Kicks_Punts_Blocked,1,,
North Carolina,10.2,1.2,Turf,11,2023,Away,Kicks_Punts_Blocked,0,,
Virginia,-5.3,-14.3,Grass,11,2023,Away,Kicks_Punts_Blocked,0,,
Pittsburgh,-0.5,-9.5,Grass,11,2023,Home,Kicks_Punts_Blocked,0,,
