OppName,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,COVID_Limit,Rain,City,State,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,UNC_Game,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,First_Game,First_Home_Game,Win_Streak,New_Coach,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Future_Game,Rennovated
Memphis,-13.2,-1.7,-11.5,4.4,-24.6,-18.5,Grass,9,22,2012,Sat,18,Home,W,38,14,24,23658,69.70330868,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,2,2,2,FALSE,FALSE
Wake Forest,-7.6,-1.7,-5.9,4.4,-0.2,5.9,Turf,9,29,2012,Sat,12.5,Away,W,34,27,7,28743,91,NA,FALSE,,Winston-Salem,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,2,FALSE,2,2,3,3,FALSE,FALSE
Virginia,-2,-1.7,-0.3,4.4,0.2,6.3,Grass,10,6,2012,Sat,15,Home,W,42,17,25,26856,79.12554138,NA,FALSE,,Durham,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,FALSE,2,3,3,4,FALSE,FALSE
Virginia Tech,6.5,-1.7,8.2,4.4,11.8,17.9,Grass,10,13,2012,Sat,12.5,Away,L,20,41,-21,65632,100,NA,FALSE,,Blacksburg,VA,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,FALSE
North Carolina,10.6,-1.7,12.3,4.4,6.1,12.2,Grass,10,20,2012,Sat,19,Home,W,33,30,3,33941,100,NA,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,FALSE
Florida St.,22.7,-1.7,24.4,4.4,15.3,21.4,Grass,10,27,2012,Sat,15.5,Away,L,7,48,-41,71467,90,NA,FALSE,,Tallahassee,FL,ESPNU,FALSE,NA,12,10,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,1,FALSE,1,2,3,4,FALSE,FALSE
Clemson,17.2,-1.7,18.9,4.4,8.3,14.4,Grass,11,3,2012,Sat,19,Home,L,20,56,-36,31894,93.96894611,NA,FALSE,,Durham,NC,ESPN2,FALSE,NA,13,11,FALSE,TRUE,TRUE,,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,FALSE,1,1,2,3,FALSE,FALSE
Georgia Tech,7.4,-1.7,9.1,4.4,5,11.1,Grass,11,17,2012,Sat,15.5,Away,L,24,42,-18,41904,76,NA,FALSE,,Atlanta,GA,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,1,1,2,FALSE,FALSE
Miami (Fla.),7,-1.7,8.7,4.4,9.3,15.4,Grass,11,24,2012,Sat,12.5,Home,L,45,52,-7,26895,79.24044666,NA,FALSE,,Durham,NC,ACCN/ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,0,1,1,FALSE,FALSE
Cincinnati,8.9,-1.7,10.6,4.4,9.3,15.4,Grass,12,27,2012,Thu,18.5,Neutral,L,34,48,-14,48128,NA,NA,FALSE,,NA,NA,ESPN,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,0,0,0,1,FALSE,FALSE
N.C. Central,NA,6.5,NA,8.2,NA,NA,Grass,8,31,2013,Sat,16,Home,W,45,0,45,22521,66.35337792,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,TRUE,0,FALSE,0,0,0,0,FALSE,FALSE
Memphis,-6.8,6.5,-13.3,8.2,-13.2,-11.5,Turf,9,7,2013,Sat,16.5,Away,W,28,14,14,44237,76,NA,FALSE,,Memphis,TN,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,1,FALSE,1,1,1,1,FALSE,FALSE
Georgia Tech,12.4,6.5,5.9,8.2,7.4,9.1,Grass,9,14,2013,Sat,15.5,Home,L,14,38,-24,21267,62.65873133,NA,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,2,2,2,2,FALSE,FALSE
Pittsburgh,5.3,6.5,-1.2,8.2,5.4,7.1,Grass,9,21,2013,Sat,12.5,Home,L,55,58,-3,22714,66.92201173,NA,FALSE,,Durham,NC,ESGP/ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1,2,2,2,FALSE,FALSE
