OppName,Year,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Site,Month,Date,Day,Start_Time,Result,DukePts,OppPts,PointDiff,COVID_Limit,AttNum,AttPct,Renovated,Future_Game,UNC_Game,First_Game,First_Home_Game,Elko,Cutcliffe,Weather,Temp,Humidity,City,State,ESPN_WinPred,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,Win_Streak,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Surface,NC_Opponent,OppCityDist
North Carolina St.,2002,NA,NA,NA,NA,NA,NA,Away,10,19,Sat,12,L,22,24,-2,FALSE,51500,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,64.2,52,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,1,1,1,,TRUE,21.14
Maryland,2002,NA,NA,NA,NA,NA,NA,Home,10,26,Sat,13,L,12,45,-33,FALSE,23451,69.09342683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,65.3,81,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,1,,FALSE,232.69
Clemson,2002,NA,NA,NA,NA,NA,NA,Home,11,2,Sat,13,L,31,34,-3,FALSE,16479,48.55189888,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,53.4,26,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,1,,FALSE,239.73
Georgia Tech,2002,NA,NA,NA,NA,NA,NA,Away,11,16,Sat,13,L,2,17,-15,FALSE,41335,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,56.3,90,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,347.61
North Carolina,2002,NA,NA,NA,NA,NA,NA,Home,11,23,Sat,12,L,21,23,-2,FALSE,30002,88.39456704,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,48.4,39,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,10.42
Virginia,2003,NA,NA,NA,NA,NA,NA,Away,8,30,Sat,19,L,0,27,-27,FALSE,61737,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,NA,NA,NA,,0,0,0,0,0,,FALSE,142.54
Western Carolina,2003,NA,NA,NA,NA,NA,NA,Home,9,6,Sat,18,W,29,3,26,FALSE,18022,53.09802304,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,70.3,68,,,NA,,,,,,,,,,,,FALSE,NA,TRUE,,0,0,0,0,0,,TRUE,244.71
Rice,2003,NA,NA,NA,NA,NA,NA,Home,9,13,Sat,18,W,27,24,3,FALSE,18742,55.21935123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,72.3,84,,,NA,,,,,,,,,,,,FALSE,TRUE,FALSE,,1,1,1,1,1,,FALSE,1046.04
Northwestern,2003,NA,NA,NA,NA,NA,NA,Home,9,20,Sat,14,L,10,28,-18,FALSE,21143,62.29339147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,83.3,51,,,NA,,,,,,,,,,,,FALSE,TRUE,FALSE,,2,2,2,2,2,,FALSE,629.97
Florida St.,2003,NA,NA,NA,NA,NA,NA,Home,9,27,Sat,19,L,7,56,-49,FALSE,24370,71.80106656,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,73.4,76,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,1,2,2,2,,FALSE,493.91
Maryland,2003,NA,NA,NA,NA,NA,NA,Away,10,11,Sat,18,L,20,33,-13,FALSE,50084,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,70.7,66,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,1,2,2,,FALSE,232.69
Wake Forest,2003,NA,NA,NA,NA,NA,NA,Home,10,18,Sat,12,L,13,42,-29,FALSE,17314,51.01205032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,59.4,58,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,2,,TRUE,75.75
North Carolina St.,2003,NA,NA,NA,NA,NA,NA,Home,10,25,Sat,13,L,21,28,-7,FALSE,27614,81.35882856,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,65.3,65,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,1,,TRUE,21.14
Tennessee,2003,NA,NA,NA,NA,NA,NA,Away,11,1,Sat,17,L,6,23,-17,FALSE,104772,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,75.4,52,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,280.78
Georgia Tech,2003,NA,NA,NA,NA,NA,NA,Home,11,8,Sat,13,W,41,17,24,FALSE,12976,38.231048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,54.3,72,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,347.61
Clemson,2003,NA,NA,NA,NA,NA,NA,Away,11,15,Sat,13,L,7,40,-33,FALSE,71731,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,62.4,23,,,NA,,,,,,,,,,,,FALSE,FALSE,FALSE,,1,1,1,1,1,,FALSE,239.73
North Carolina,2003,NA,NA,NA,NA,NA,NA,Away,11,22,Sat,13.08333333,W,30,22,8,FALSE,48000,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,72,35,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,1,1,1,1,,TRUE,10.42
Navy,2004,NA,NA,NA,NA,NA,NA,Away,9,4,Sat,18,L,12,27,-15,FALSE,29027,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,83.3,43,,,NA,,,,,,,,,,,,NA,NA,NA,,1,1,2,2,2,,FALSE,244.78
