Year,School,Coach,NewCoach,numGames,numHome,numWins,numLosses,overallPct,winningSeason,overallPct_prevYear,pointsScoredAvg,pointsAllowedAvg,pointDiffAvg,pointDiffAvg_prevYear,confPct,homePct,roadPct,neutralPct,bowlGame,bowlGame_prevYear,wonBowl_prevYear,confChampionshipGame,SOR_rank,SOR_rank_prevYear,FPI_rank,SOS_rank,GC_rank,AVGWP_rank,GC_rank_prevYear,AVGWP_rank_prevYear,AP_ranked,AP_ranked_prevYear,avgHeight,avgWeight,numPositions,numC,numCB,numDB,numDE,numDL,numDT,numK,numLB,numLS,numOG,numOL,numOT,numP,numQB,numRB,numS,numTE,numWR,numOffense,numDefense,numFreshmen,numSophomores,numJuniors,numSeniors,numPlayers,class_natlRank,class_confRank,class_score,transfer_natlRank,transfer_score,numGrad,numRedshirtFreshmen,numRedshirtSophomores,numRedshirtJuniors,numRedshirtSeniors,numRedshirting,3rd Down Conversion Pct_Natl_Rank,3rd Down Conversion Pct_Conf_Rank,3rd Down Conversion Pct_Value,3rd Down Conversion Pct Defense_Natl_Rank,3rd Down Conversion Pct Defense_Conf_Rank,3rd Down Conversion Pct Defense_Value,4th Down Conversion Pct_Natl_Rank,4th Down Conversion Pct_Conf_Rank,4th Down Conversion Pct_Value,4th Down Conversion Pct Defense_Natl_Rank,4th Down Conversion Pct Defense_Conf_Rank,4th Down Conversion Pct Defense_Value,Blocked Kicks_Natl_Rank,Blocked Kicks_Conf_Rank,Blocked Kicks_Value,Blocked Kicks Allowed_Natl_Rank,Blocked Kicks Allowed_Conf_Rank,Blocked Kicks Allowed_Value,Blocked Punts_Natl_Rank,Blocked Punts_Conf_Rank,Blocked Punts_Value,Blocked Punts Allowed_Natl_Rank,Blocked Punts Allowed_Conf_Rank,Blocked Punts Allowed_Value,Completion Percentage_Natl_Rank,Completion Percentage_Conf_Rank,Completion Percentage_Value,Defensive TDs_Natl_Rank,Defensive TDs_Conf_Rank,Defensive TDs_Value,Fewest Penalties_Natl_Rank,Fewest Penalties_Conf_Rank,Fewest Penalties_Value,Fewest Penalties Per Game_Natl_Rank,Fewest Penalties Per Game_Conf_Rank,Fewest Penalties Per Game_Value,Fewest Penalty Yards_Natl_Rank,Fewest Penalty Yards_Conf_Rank,Fewest Penalty Yards_Value,Fewest Penalty Yards Per Game_Natl_Rank,Fewest Penalty Yards Per Game_Conf_Rank,Fewest Penalty Yards Per Game_Value,First Downs Defense_Natl_Rank,First Downs Defense_Conf_Rank,First Downs Defense_Value,First Downs Offense_Natl_Rank,First Downs Offense_Conf_Rank,First Downs Offense_Value,Fumbles Lost_Natl_Rank,Fumbles Lost_Conf_Rank,Fumbles Lost_Value,Fumbles Recovered_Natl_Rank,Fumbles Recovered_Conf_Rank,Fumbles Recovered_Value,Kickoff Return Defense_Natl_Rank,Kickoff Return Defense_Conf_Rank,Kickoff Return Defense_Value,Kickoff Returns_Natl_Rank,Kickoff Returns_Conf_Rank,Kickoff Returns_Value,Net Punting_Natl_Rank,Net Punting_Conf_Rank,Net Punting_Value,Passes Had Intercepted_Natl_Rank,Passes Had Intercepted_Conf_Rank,Passes Had Intercepted_Value,Passes Intercepted_Natl_Rank,Passes Intercepted_Conf_Rank,Passes Intercepted_Value,Passing Offense_Natl_Rank,Passing Offense_Conf_Rank,Passing Offense_Value,Passing Yards Allowed_Natl_Rank,Passing Yards Allowed_Conf_Rank,Passing Yards Allowed_Value,Passing Yards per Completion_Natl_Rank,Passing Yards per Completion_Conf_Rank,Passing Yards per Completion_Value,Punt Return Defense_Natl_Rank,Punt Return Defense_Conf_Rank,Punt Return Defense_Value,Punt Returns_Natl_Rank,Punt Returns_Conf_Rank,Punt Returns_Value,Red Zone Defense_Natl_Rank,Red Zone Defense_Conf_Rank,Red Zone Defense_Value,Red Zone Offense_Natl_Rank,Red Zone Offense_Conf_Rank,Red Zone Offense_Value,Rushing Defense_Natl_Rank,Rushing Defense_Conf_Rank,Rushing Defense_Value,Rushing Offense_Natl_Rank,Rushing Offense_Conf_Rank,Rushing Offense_Value,Sacks Allowed_Natl_Rank,Sacks Allowed_Conf_Rank,Sacks Allowed_Value,Scoring Defense_Natl_Rank,Scoring Defense_Conf_Rank,Scoring Defense_Value,Scoring Offense_Natl_Rank,Scoring Offense_Conf_Rank,Scoring Offense_Value,Tackles for Loss Allowed_Natl_Rank,Tackles for Loss Allowed_Conf_Rank,Tackles for Loss Allowed_Value,Team Passing Efficiency_Natl_Rank,Team Passing Efficiency_Conf_Rank,Team Passing Efficiency_Value,Team Passing Efficiency Defense_Natl_Rank,Team Passing Efficiency Defense_Conf_Rank,Team Passing Efficiency Defense_Value,Team Sacks_Natl_Rank,Team Sacks_Conf_Rank,Team Sacks_Value,Team Tackles for Loss_Natl_Rank,Team Tackles for Loss_Conf_Rank,Team Tackles for Loss_Value,Time of Possession_Natl_Rank,Time of Possession_Conf_Rank,Time of Possession_Value,Total Defense_Natl_Rank,Total Defense_Conf_Rank,Total Defense_Value,Total Offense_Natl_Rank,Total Offense_Conf_Rank,Total Offense_Value,Turnover Margin_Natl_Rank,Turnover Margin_Conf_Rank,Turnover Margin_Value,Turnovers Gained_Natl_Rank,Turnovers Gained_Conf_Rank,Turnovers Gained_Value,Turnovers Lost_Natl_Rank,Turnovers Lost_Conf_Rank,Turnovers Lost_Value
2013,Duke,Cutcliffe,0,14,7,10,4,0.714286,1,0.461538,32.785714,26.642857,6.142857,-4.461538,0.666667,0.714286,1.000000,0.000,1,1,0,0,29,65,48,56,52,60,66,76,1,0,6.141666667,228.5909091,19,3,10,0,10,0,3,2,9,1,7,4,6,2,8,8,14,5,12,53,46,27,15,11,7,110,70,12,81.71,,,0,13,13,15,9,0,67,5,0.395,46,9,0.373,8,3,0.696,70,10,0.536,24,2,3,1,1,0,18,4,1,1,1,0,32,3,0.631,,,,43,4,64,25,3,4.57,54,5,570,32,4,40.71,121,14,311,36,3,298,12,4,6,73,10,8,54,7,20.61,12,3,24.72,41,4,37.77,117,14,19,13,3,18,50,6,248.1,82,11,243.9,79,10,11.66,102,10,10.95,3,2,14.59,52,8,0.822,39,5,0.862,75,11,174.1,54,5,178,15,2,1.21,63,9,26.6,41,5,32.8,5,1,3.86,47,7,135.09,74,11,129.84,89,14,1.64,106,13,4.9,84,11,29:03:00,82,12,418,47,4,426.1,60,8,0.07,26,4,26,96,12,25
2012,Duke,Cutcliffe,0,13,7,6,7,0.461538,0,0.250000,31.538462,36.000000,-4.461538,-8.666667,0.375000,0.714286,0.200000,0.000,1,0,0,0,65,99,73,50,66,76,100,106,0,0,6.154434251,230.1834862,20,4,5,3,11,0,5,2,13,2,6,3,6,1,6,7,11,7,12,51,48,30,16,9,6,109,64,12,82.16,,,0,4,14,12,9,9,98,9,34.67,76,9,41.76,45,5,55.56,71,7,51.85,,,,,,,,,,,,,,,,,,,,,,58,6,5.85,,,,48,6,49,66,9,21.15,44,4,22.15,47,4,9,35,2,12,68,6,21.59,114,10,17.98,39,2,38.03,63,6,12,63,6,11,31,5,283.92,82,11,243.9,,,,117,12,12.92,6,2,14.92,15,1,0.73,43,6,0.83,101,10,201.54,98,8,125.23,35,3,1.46,107,12,36,44,5,31.54,13,1,4.46,67,6,131.97,114,12,151.65,66,9,1.92,99,10,4.62,32,4,31:08:00,105,11,469.15,55,7,409.15,50,5,0.15,46,4,23,52,4,21
2011,Duke,Cutcliffe,0,12,7,3,9,0.250000,0,0.333333,22.500000,31.166667,-8.666667,-10.166667,0.125000,0.142857,0.400000,,0,0,0,0,99,90,86,46,100,106,81,95,0,0,6.035168196,223.6697248,21,4,9,1,8,2,4,4,10,1,7,3,5,3,6,6,13,8,11,50,47,29,11,8,12,109,63,12,81.49,,,0,13,18,10,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Duke,Cutcliffe,0,12,7,3,9,0.333333,0,0.416667,25.250000,35.416667,-10.166667,-3.166667,0.125000,0.285714,0.200000,,0,0,0,0,90,74,79,35,81,95,72,88,0,0,6.14347079,227.5773196,18,2,6,0,9,2,0,5,11,1,5,3,6,2,4,5,12,8,12,45,40,24,11,12,6,97,59,12,82.65,,,0,18,10,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Duke,Cutcliffe,0,12,6,5,7,0.416667,0,0.333333,25.166667,28.333333,-3.166667,-3.333333,0.375000,0.333333,0.500000,,0,0,0,0,74,78,78,53,72,88,65,90,0,0,6.14347079,227.5773196,18,2,6,0,9,2,0,5,11,1,5,3,6,2,4,5,12,8,12,45,40,0,0,0,0,97,49,10,83.39,,,0,18,10,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Duke,Cutcliffe,1,12,7,4,8,0.333333,0,0.083333,20.083333,23.416667,-3.333333,-15.250000,0.125000,0.428571,0.200000,,0,0,0,0,78,105,68,19,65,90,92,110,0,0,6.150833333,221.15,18,3,5,0,7,0,3,5,10,1,5,0,6,2,4,4,5,7,10,39,30,24,27,13,22,100,63,13,81,,,0,12,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Duke,Roof,0,12,5,1,11,0.083333,0,0.000000,17.916667,33.166667,-15.250000,-18.916667,0.000000,0.000000,0.142857,,0,0,0,0,105,118,91,24,92,110,110,117,0,0,6.187275986,231.3978495,19,3,9,0,5,0,4,2,12,1,8,0,6,2,3,4,0,5,11,40,30,23,16,23,14,93,113,14,79.5,,,0,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Duke,Roof,0,12,7,0,12,0.000000,0,0.090909,14.916667,33.833333,-18.916667,-21.000000,0.000000,0.000000,0.000000,,0,0,0,0,118,108,109,26,110,117,100,110,0,0,6.173076923,229.8901099,22,3,9,0,6,0,6,3,14,1,3,6,3,1,4,4,2,4,10,37,37,26,22,21,13,91,64,13,80.29,,,0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Duke,Roof,0,11,6,1,11,0.090909,0,0.181818,16.090909,37.090909,-21.000000,-13.545455,0.000000,0.166667,0.000000,,0,0,0,0,108,,104,39,100,110,,,0,0,6.089166667,224.85,19,3,8,0,6,0,7,5,16,1,5,0,7,1,6,6,7,4,8,39,44,25,21,29,15,100,43,5,81,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Miami,Cristobal,0,13,7,7,6,0.538462,1,0.416667,31.461538,22.769231,8.692308,-3.166667,0.375000,0.714286,0.400000,0.000,1,0,0,0,49,79,24,61,39,46,90,99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Miami,Cristobal,1,12,7,5,7,0.416667,0,0.583333,23.583333,26.750000,-3.166667,5.666667,0.375000,0.285714,0.600000,,0,1,0,0,79,35,69,67,90,99,43,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Miami,Diaz,0,12,7,7,5,0.583333,1,0.727273,34.083333,28.416667,5.666667,7.000000,0.625000,0.833333,0.500000,0.000,1,1,0,0,35,20,23,36,43,57,43,49,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Miami,Diaz,0,11,5,8,3,0.727273,1,0.461538,34.000000,27.000000,7.000000,5.461538,0.777778,0.800000,0.800000,0.000,1,1,0,0,20,78,25,32,43,49,60,65,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Miami,Diaz,1,13,6,6,7,0.461538,0,0.538462,25.692308,20.230769,5.461538,9.307692,0.500000,0.666667,0.400000,0.000,1,1,0,0,78,54,45,63,60,65,54,68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Miami,Richt,0,13,6,7,6,0.538462,1,0.769231,28.769231,19.461538,9.307692,8.076923,0.500000,0.833333,0.400000,0.000,1,1,0,0,54,14,27,51,54,68,24,32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Miami,Richt,0,13,6,10,3,0.769231,1,0.692308,29.076923,21.000000,8.076923,15.769231,0.777778,1.000000,0.750000,0.000,1,1,1,1,14,21,17,17,24,32,14,22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Miami,Richt,1,13,6,9,4,0.692308,1,0.615385,34.307692,18.538462,15.769231,-0.384615,0.625000,0.666667,0.666667,1.000,1,1,0,0,21,37,14,26,14,22,40,56,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Miami,Golden,0,13,6,8,5,0.615385,1,0.461538,27.769231,28.153846,-0.384615,4.923077,0.625000,0.833333,0.500000,0.000,1,1,0,0,37,58,52,30,40,56,27,38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Miami,Golden,0,13,7,6,7,0.461538,0,0.692308,29.230769,24.307692,4.923077,7.076923,0.375000,0.714286,0.200000,0.000,1,1,0,0,58,30,36,31,27,38,38,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Miami,Golden,0,13,7,9,4,0.692308,1,0.583333,33.846154,26.769231,7.076923,0.916667,0.625000,0.857143,0.600000,0.000,1,0,0,0,30,36,35,49,38,40,39,59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Miami,Golden,0,12,6,7,5,0.583333,1,0.500000,31.416667,30.500000,0.916667,6.416667,0.625000,0.666667,0.500000,,0,0,0,0,36,63,44,31,39,59,52,56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Miami,Golden,1,12,7,6,6,0.500000,1,0.538462,26.500000,20.083333,6.416667,5.615385,0.375000,0.571429,0.400000,,0,1,0,0,63,32,31,47,52,56,37,62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Miami,Shannon,0,13,7,7,6,0.538462,1,0.692308,26.307692,20.692308,5.615385,8.153846,0.625000,0.500000,0.666667,0.000,1,1,0,0,32,16,24,6,37,62,31,52,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Miami,Shannon,0,13,6,9,4,0.692308,1,0.538462,30.307692,22.153846,8.153846,3.307692,0.625000,0.833333,0.666667,0.000,1,0,0,0,16,44,18,9,31,52,51,67,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Miami,Shannon,0,13,6,7,6,0.538462,1,0.416667,27.461538,24.153846,3.307692,-5.416667,0.500000,0.666667,0.428571,,0,0,0,0,44,74,38,26,51,67,65,71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Miami,Shannon,1,12,7,5,7,0.416667,0,0.538462,20.583333,26.000000,-5.416667,4.153846,0.250000,0.571429,0.200000,,0,1,1,0,74,54,62,52,65,71,50,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Miami,Coker,0,13,7,7,6,0.538462,1,0.750000,19.615385,15.461538,4.153846,12.833333,0.375000,0.714286,0.200000,1.000,1,1,0,0,54,16,43,57,50,45,15,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Miami,Coker,0,12,6,9,3,0.750000,1,0.750000,27.083333,14.250000,12.833333,14.666667,0.750000,0.833333,0.800000,0.000,1,1,1,0,16,,11,45,15,16,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
